isin,trade_date,settlement_date,counterparty,region,instrument_type,currency,notional_value,coupon_rate,yield_spread,settlement_method,trade_channel,previous_settlement_fails,counterparty_risk_score,ssi_valid,time_to_settle_days,settlement_status,fail_reason,trade_month,high_notional_flag,interest_to_yield_ratio
JP9QDLXEMWU7,2025-10-22,2025-10-24,JP Morgan,AMER,Municipal Bond,USD,3807947.18,7.16,2.22,FOP,FIX API,0,0.6,0,2,0,None,10,0,3.21
JPS5JJQ3FG86,2025-09-15,2025-09-16,JP Morgan,APAC,Sovereign Bond,GBP,675027.76,6.56,1.84,FOP,RFQ,0,0.71,1,1,1,Missing Cash,9,0,3.55
INJBPS1GIS27,2025-09-30,2025-10-02,Barclays UK,AMER,Corporate Bond,EUR,8341182.14,1.99,0.63,FOP,Voice,0,0.18,0,2,0,None,9,1,3.11
GBJNRT4UFPG0,2025-09-27,2025-09-30,HSBC,AMER,Agency Bond,EUR,4376255.68,2.54,1.87,DVP,Voice,0,0.14,1,3,0,None,9,0,1.35
INWXTI5T9EK7,2025-10-28,2025-10-29,Deutsche Bank,APAC,Municipal Bond,JPY,4615092.84,6.0,0.68,DVP,RFQ,0,0.51,1,1,0,None,10,0,8.7
DE8TQIBGFDL6,2025-10-24,2025-10-27,Citibank,APAC,Sovereign Bond,JPY,6114694.03,1.69,0.29,FOP,Voice,2,0.95,0,3,0,None,10,1,5.63
FRBLVN87G886,2025-11-06,2025-11-08,Deutsche Bank,EMEA,Corporate Bond,EUR,6873906.96,3.58,0.45,FOP,RFQ,0,0.5,1,2,0,None,11,1,7.78
GBXZP6CEQFA3,2025-09-19,2025-09-22,JP Morgan,EMEA,Sovereign Bond,JPY,2661921.82,5.14,1.0,DVP,Voice,0,0.52,1,3,0,None,9,0,5.09
INRVN6O43D64,2025-10-09,2025-10-10,JP Morgan,AMER,Corporate Bond,JPY,9698887.81,5.93,2.82,DVP,RFQ,0,0.89,0,1,0,None,10,1,2.1
US6VVBXAIEX5,2025-09-15,2025-09-18,HSBC,AMER,Agency Bond,GBP,976075.77,1.87,0.23,FOP,Voice,0,0.33,0,3,0,None,9,0,7.79
DEKYR5RRHRL5,2025-09-27,2025-09-30,JP Morgan,APAC,Sovereign Bond,GBP,8304501.34,3.0,0.91,FOP,FIX API,0,0.54,0,3,0,None,9,1,3.26
