isin,trade_date,settlement_date,counterparty,region,instrument_type,currency,notional_value,coupon_rate,yield_spread,settlement_method,trade_channel,previous_settlement_fails,counterparty_risk_score,ssi_valid,time_to_settle_days,settlement_status,fail_reason,trade_month,high_notional_flag,interest_to_yield_ratio
USQ60BXWXEQ2,2025-10-22,2025-10-24,Deutsche Bank,APAC,Corporate Bond,JPY,3807947.18,7.16,2.22,DVP,FIX API,0,0.6,1,2,0,None,10,0,3.21
IN7BTPVSBAG7,2025-09-15,2025-09-16,JP Morgan,AMER,Corporate Bond,GBP,675027.76,6.56,1.84,FOP,RFQ,0,0.71,0,1,1,Instruction Error,9,0,3.55
US3588SZ57Q7,2025-09-30,2025-10-01,HSBC,APAC,Agency Bond,GBP,8341182.14,1.99,0.63,FOP,FIX API,0,0.18,0,1,0,None,9,1,3.11
GBM0K6CHNMB5,2025-09-27,2025-09-30,BNP Paribas,APAC,Agency Bond,GBP,4376255.68,2.54,1.87,DVP,Chat,0,0.14,1,3,0,None,9,0,1.35
USV5EKVID8N8,2025-10-28,2025-10-30,JP Morgan,APAC,Sovereign Bond,USD,4615092.84,6.0,0.68,DVP,FIX API,0,0.51,1,2,0,None,10,0,8.7
INL23ERYFET9,2025-10-24,2025-10-25,Deutsche Bank,AMER,Sovereign Bond,JPY,6114694.03,1.69,0.29,FOP,Chat,2,0.95,1,1,0,None,10,1,5.63
GBBDIKG2DXN5,2025-11-06,2025-11-07,Citibank,EMEA,Corporate Bond,JPY,6873906.96,3.58,0.45,DVP,Chat,0,0.5,0,1,0,None,11,1,7.78
GBGS9Z79FV02,2025-09-19,2025-09-21,Deutsche Bank,EMEA,Agency Bond,JPY,2661921.82,5.14,1.0,DVP,FIX API,0,0.52,0,2,0,None,9,0,5.09
FR0DUTL5WSQ1,2025-10-09,2025-10-10,Barclays UK,APAC,Sovereign Bond,EUR,9698887.81,5.93,2.82,FOP,RFQ,0,0.89,0,1,0,None,10,1,2.1
GB1IY8XH8O49,2025-09-15,2025-09-17,Deutsche Bank,AMER,Corporate Bond,EUR,976075.77,1.87,0.23,FOP,Chat,0,0.33,0,2,0,None,9,0,7.79
USYTBPWB0314,2025-09-27,2025-09-29,Barclays UK,EMEA,Municipal Bond,EUR,8304501.34,3.0,0.91,FOP,RFQ,0,0.54,0,2,0,None,9,1,3.26
US2TNMZFIPO6,2025-10-14,2025-10-17,BNP Paribas,EMEA,Sovereign Bond,JPY,838051.37,7.41,2.34,FOP,Chat,0,0.2,1,3,0,None,10,0,3.15
IN58U2O30FU2,2025-09-15,2025-09-18,Barclays UK,AMER,Municipal Bond,EUR,7097887.7,5.6,2.34,FOP,Voice,0,0.07,1,3,0,None,9,1,2.38
GBNXIQ93N732,2025-09-25,2025-09-26,JP Morgan,EMEA,Agency Bond,GBP,8644723.92,4.86,1.06,DVP,RFQ,0,0.06,0,1,0,None,9,1,4.54
GBYLBDKMTEX0,2025-10-22,2025-10-25,JP Morgan,APAC,Agency Bond,JPY,7323101.17,4.96,2.67,FOP,Chat,0,0.47,1,3,0,None,10,1,1.85
IN1WHJHFNTY4,2025-10-16,2025-10-18,HSBC,APAC,Agency Bond,EUR,7631771.98,4.43,2.34,DVP,Voice,0,0.49,1,2,0,None,10,1,1.89
US3UMZFOWUL3,2025-09-27,2025-09-30,Barclays UK,EMEA,Sovereign Bond,USD,351649.35,1.26,0.19,DVP,RFQ,0,0.64,0,3,0,None,9,0,6.3
USYOWZ0A8DI5,2025-10-19,2025-10-21,JP Morgan,EMEA,Agency Bond,EUR,9084908.09,2.25,1.29,FOP,Voice,0,0.76,1,2,0,None,10,1,1.73
INHDF0799TK7,2025-11-01,2025-11-04,Citibank,AMER,Sovereign Bond,GBP,2968539.38,1.63,2.8,FOP,Voice,1,0.81,1,3,0,None,11,0,0.58
IN6LT47ECVW5,2025-09-14,2025-09-16,Deutsche Bank,EMEA,Agency Bond,EUR,1947043.58,6.75,1.66,DVP,Chat,1,0.81,0,2,0,None,9,0,4.04
JPDOHPQRDGP4,2025-11-01,2025-11-02,Deutsche Bank,APAC,Sovereign Bond,GBP,2356558.11,3.49,2.47,FOP,RFQ,0,0.86,0,1,0,None,11,0,1.41
USBFNSPANIF4,2025-10-25,2025-10-28,Citibank,EMEA,Sovereign Bond,EUR,4232368.93,2.05,0.45,FOP,Chat,1,0.34,0,3,0,None,10,0,4.46
USALWE2WH0J4,2025-10-04,2025-10-07,JP Morgan,AMER,Municipal Bond,GBP,7059887.69,3.05,2.92,FOP,Chat,0,0.96,1,3,0,None,10,1,1.04
DEY92R0JDKO0,2025-09-23,2025-09-26,Deutsche Bank,APAC,Agency Bond,JPY,3078695.27,2.49,0.21,DVP,FIX API,0,0.61,0,3,0,None,9,0,11.32
US1PIX42VV09,2025-11-10,2025-11-11,Deutsche Bank,AMER,Municipal Bond,EUR,2858600.0,6.86,0.79,FOP,RFQ,0,0.14,1,1,1,Missing Cash,11,0,8.57
JPN1XHMM5JC0,2025-10-04,2025-10-06,Barclays UK,APAC,Sovereign Bond,JPY,2496347.19,5.2,2.31,DVP,RFQ,1,0.24,1,2,0,None,10,0,2.24
DEZ5EZDC75J5,2025-09-19,2025-09-21,Barclays UK,APAC,Municipal Bond,USD,6371944.14,4.25,0.36,FOP,Voice,0,0.84,1,2,0,None,9,1,11.49
USCIKIZZ1O77,2025-09-19,2025-09-22,HSBC,EMEA,Agency Bond,GBP,503673.9,4.64,2.06,DVP,Chat,0,0.02,0,3,0,None,9,0,2.24
FRPQDU0GOTS0,2025-11-03,2025-11-04,JP Morgan,APAC,Sovereign Bond,USD,6487210.63,1.72,2.1,DVP,Chat,1,0.39,0,1,0,None,11,1,0.82
DE4PGFZZG970,2025-10-20,2025-10-23,BNP Paribas,APAC,Municipal Bond,EUR,1223387.86,6.97,2.64,DVP,Voice,1,0.26,0,3,0,None,10,0,2.63
DECIF47TO1X3,2025-11-01,2025-11-02,HSBC,AMER,Agency Bond,JPY,5343540.73,2.19,0.37,DVP,FIX API,1,0.9,1,1,0,None,11,1,5.76
DETPSXOKV3M9,2025-10-27,2025-10-28,Citibank,APAC,Agency Bond,EUR,3557174.79,5.58,2.7,FOP,RFQ,1,0.89,1,1,0,None,10,0,2.06
USANQ314EIV0,2025-10-16,2025-10-18,BNP Paribas,EMEA,Sovereign Bond,GBP,1700124.27,6.79,1.86,FOP,FIX API,0,0.01,0,2,0,None,10,0,3.63
FRAULJRGSFM4,2025-11-11,2025-11-12,BNP Paribas,EMEA,Municipal Bond,EUR,150109.68,1.63,1.69,FOP,Voice,1,0.69,1,1,0,None,11,0,0.96
DE0TV8Z948H7,2025-10-06,2025-10-07,Citibank,AMER,Sovereign Bond,USD,2448765.97,2.78,2.26,FOP,Voice,1,0.65,0,1,0,None,10,0,1.22
FR0AUEPZPM14,2025-10-17,2025-10-20,Deutsche Bank,APAC,Corporate Bond,USD,1027380.2,3.07,0.87,FOP,Chat,1,0.24,1,3,0,None,10,0,3.49
FRGVKKZ3IQZ2,2025-11-02,2025-11-04,BNP Paribas,EMEA,Sovereign Bond,USD,6348272.4,6.06,1.56,FOP,Chat,0,0.58,1,2,0,None,11,1,3.86
IN0T136ET464,2025-10-21,2025-10-23,Barclays UK,APAC,Agency Bond,USD,7252275.94,2.47,0.17,FOP,FIX API,0,0.65,0,2,0,None,10,1,13.72
DESO5LQNNZ34,2025-11-04,2025-11-05,JP Morgan,EMEA,Sovereign Bond,GBP,9543892.91,6.9,1.17,FOP,RFQ,1,0.02,1,1,1,Missing Cash,11,1,5.85
DECPB5Q8YII9,2025-10-18,2025-10-19,Citibank,EMEA,Agency Bond,GBP,9639837.77,6.47,0.95,FOP,Voice,1,0.39,0,1,0,None,10,1,6.74
USBMCVFYS1J8,2025-10-26,2025-10-27,JP Morgan,EMEA,Municipal Bond,EUR,5612332.5,7.05,2.12,FOP,Voice,0,0.57,0,1,0,None,10,1,3.31
USJVY36HMKG5,2025-09-16,2025-09-18,HSBC,APAC,Agency Bond,EUR,9901533.12,1.48,1.6,DVP,FIX API,1,0.88,1,2,0,None,9,1,0.92
GBCJQ22GN3F0,2025-09-27,2025-09-28,Deutsche Bank,APAC,Sovereign Bond,EUR,3658962.4,2.56,2.45,FOP,Voice,2,0.81,1,1,0,None,9,0,1.04
DE5TGAXYJR30,2025-10-01,2025-10-03,BNP Paribas,EMEA,Agency Bond,GBP,8003122.27,5.05,2.14,DVP,RFQ,1,0.8,0,2,0,None,10,1,2.35
USBM0ID7CQA0,2025-09-18,2025-09-19,Citibank,EMEA,Municipal Bond,JPY,1030421.2,4.55,0.2,FOP,FIX API,0,0.47,1,1,0,None,9,0,21.67
GB1SFXH0HAQ0,2025-09-27,2025-09-29,Barclays UK,EMEA,Municipal Bond,USD,5949249.28,0.71,0.21,DVP,RFQ,0,0.82,0,2,0,None,9,1,3.23
JPQH9IOBKI19,2025-09-20,2025-09-22,JP Morgan,AMER,Municipal Bond,JPY,5270208.27,5.89,0.73,FOP,Chat,0,0.62,0,2,0,None,9,1,7.96
GBZSFFOZCME7,2025-09-30,2025-10-02,Citibank,EMEA,Agency Bond,EUR,5360410.85,4.28,1.95,FOP,Voice,1,0.73,0,2,0,None,9,1,2.18
US7OP1FULHR2,2025-10-22,2025-10-23,BNP Paribas,AMER,Municipal Bond,JPY,7972343.33,2.4,1.37,DVP,Chat,0,0.08,0,1,1,Missing Cash,10,1,1.74
DE5THUT0LA70,2025-10-05,2025-10-07,BNP Paribas,AMER,Sovereign Bond,JPY,8376203.19,5.37,1.29,DVP,RFQ,0,0.17,0,2,0,None,10,1,4.13
FRW1IQR4ASA0,2025-10-06,2025-10-08,BNP Paribas,AMER,Municipal Bond,GBP,5537343.98,5.5,2.01,DVP,FIX API,2,0.28,1,2,0,None,10,1,2.72
FRPOIVL49N80,2025-09-26,2025-09-29,Citibank,EMEA,Municipal Bond,GBP,4254040.62,2.23,1.13,DVP,Voice,0,0.76,1,3,0,None,9,0,1.96
DEAVR6WJY0I6,2025-09-30,2025-10-03,JP Morgan,AMER,Corporate Bond,EUR,555426.16,0.79,2.58,DVP,RFQ,0,0.7,0,3,0,None,9,0,0.31
JPT3B4SHM863,2025-11-09,2025-11-10,Deutsche Bank,APAC,Agency Bond,EUR,4966997.16,3.81,0.6,DVP,Voice,0,0.43,1,1,0,None,11,0,6.25
USG2TIP0DQM2,2025-10-22,2025-10-23,BNP Paribas,AMER,Municipal Bond,GBP,6387427.14,0.82,1.19,FOP,RFQ,0,0.63,1,1,0,None,10,1,0.68
FR5LU50D1V41,2025-10-20,2025-10-22,Barclays UK,AMER,Agency Bond,JPY,6621066.95,1.64,0.3,DVP,Chat,0,0.64,0,2,0,None,10,1,5.29
DENP7N281AY6,2025-09-24,2025-09-27,BNP Paribas,APAC,Corporate Bond,JPY,9408279.39,4.53,1.23,DVP,FIX API,0,0.64,1,3,0,None,9,1,3.65
USPBBHWMZDX1,2025-10-27,2025-10-29,Barclays UK,AMER,Sovereign Bond,GBP,9420501.61,3.2,2.89,DVP,RFQ,0,0.91,1,2,0,None,10,1,1.1
JPUGVY2KAFZ5,2025-09-23,2025-09-24,HSBC,AMER,Corporate Bond,JPY,1097702.21,0.63,0.37,FOP,RFQ,0,0.68,0,1,0,None,9,0,1.66
